,BUILDERS,SIZE,PROPERTY_TYPE,PROPERTY_ADDRESS,CITY,AREA,RATE_SQFT,PRICE,CONSTRUCTION_STATUS,LISTED_BY
0,Ashoka Builders India Private LimitedBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,1870 ,"9,499", 1.77 Cr,Under Construction,BUILDER
1,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3587 ,"8,300", 2.97 Cr,Under Construction,BUILDER
2,Raghuram Pradeep Constructions India LLPBUILDER0,4 BHK,Apartment,Puppalaguda,Hyderabad,3715 ,"10,891", 4.04 Cr,Under Construction,BUILDER
3,Kalyan Infra ProjectsBUILDER0,3 BHK,Apartment,Manchirevula,Hyderabad,2150 ,"6,800", 1.46 Cr,Ready to move,BUILDER
4,Risinia BuildersBUILDER0,2 BHK,Apartment,Pragathi,Hyderabad,1312 ,"5,599", 73.45 L,Under Construction,BUILDER
5,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,1144 ,"4,200", 48.04 L,Under Construction,BUILDER
6,APR GroupBUILDER0,4 BHK,Independent,Kollur,Hyderabad,3860 ,"10,000", 3.86 Cr,Under Construction,BUILDER
7,Praneeth GroupBUILDER0,3 BHK,Apartment,Hyder,Hyderabad,2257 ,"7,599", 1.71 Cr,Under Construction,BUILDER
8,GHR InfraBUILDER0,3 BHK,Apartment,Kollur,Hyderabad,1775 ,"5,999", 1.06 Cr,Under Construction,BUILDER
9,Greenmark DevelopersBUILDER0,5 BHK,Villa,Kollur,Hyderabad,6111 ,"12,142", 7.41 Cr,Under Construction,BUILDER
10,Hallmark BuildersBUILDER0,3 BHK,Apartment,Narsingi,Hyderabad,2255 ,"8,299", 1.87 Cr,Under Construction,BUILDER
11,Aavasa ConstructionsBUILDER0,2 BHK,Apartment,LB,Hyderabad,1310 ,"7,000", 91.7 L,Ready to move,BUILDER
12,Theme Ambience InfrastructuresBUILDER0,3 BHK,Apartment,Attapur,Hyderabad,2090 ,"7,499", 1.56 Cr,Under Construction,BUILDER
13,Signature AvenuesBUILDER0,3 BHK,Apartment,Kollur,Hyderabad,1900 ,"5,999", 1.13 Cr,Under Construction,BUILDER
14,GK Builders DevelopersBUILDER0,3 BHK,Apartment,Yapral,Hyderabad,1735 ,"5,400", 93.69 L,Ready to move,BUILDER
15,Candeur Developers And BuildersBUILDER0,3 BHK,Apartment,Miyapur,Hyderabad,2004 ,"7,600", 1.52 Cr,Under Construction,BUILDER
16,BSCPL Infrastructure LtdBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1965 ,"13,587", 2.66 Cr,Ready to move,BUILDER
17,Merlion BuildersBUILDER0,3 BHK,Apartment,Nizampet,Hyderabad,1551 ,"6,002", 93.03 L,Ready to move,BUILDER
18,Vajra Builders And DevelopersBUILDER0,5 BHK,Villa,Dundigal,Hyderabad,2624 ,"6,500", 1.7 Cr,Under Construction,BUILDER
19,Riddhi GroupBUILDER0,3 BHK,Apartment,Jeedimetla,Hyderabad,1840 ,"5,950", 1.09 Cr,Under Construction,BUILDER
20,Maram Infra Projects PvtLtdBUILDER0,2 BHK,Apartment,Pocharam,Hyderabad,1245 ,"5,055", 62.93 L,Under Construction,BUILDER
21,Anuhar Homes Pvt LtdBUILDER0,3 BHK,Apartment,Miyapur,Hyderabad,1932 ,"6,500", 1.25 Cr,Ready to move,BUILDER
22,Salarpuria SattvaBUILDER0,3 BHK,Apartment,Shaikpet,Hyderabad,2285 ,"10,540", 2.4 Cr,Ready to move,BUILDER
23,EIPL GroupBUILDER0,3 BHK,Apartment,Puppalaguda,Hyderabad,2350 ,"7,800", 1.83 Cr,Under Construction,BUILDER
24,Vasavi GroupBUILDER0,3 BHK,Apartment,Jeedimetla,Hyderabad,1965 ,"7,400", 1.45 Cr,Under Construction,BUILDER
25,Mahaveer GroupBUILDER0,4 BHK,Apartment,Attapur,Hyderabad,5345 ,"8,500", 4.54 Cr,Under Construction,BUILDER
26,Sri Aditya SquaresBUILDER0,4 BHK,Villa,Ramachandrapuram,Hyderabad,3392 ,"7,999", 2.71 Cr,Under Construction,BUILDER
27,Sumadhura Infracon Pvt LtdBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,1670 ,"13,592", 2.26 Cr,Under Construction,BUILDER
28,Cyber City OrianaBUILDER0,3 BHK,Apartment,Kukatpally,Hyderabad,1480 ,"8,399", 1.24 Cr,Under Construction,BUILDER
29,Jain ConstructionsBUILDER0,2 BHK,Apartment,Kompally,Hyderabad,1090 ,"6,754", 73.56 L,Under Construction,BUILDER
30,Ashoka Builders India Private LimitedBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,1870 ,"9,499", 1.77 Cr,Under Construction,BUILDER
31,Sunyuga Infra Pvt LtdBUILDER0,4 BHK,Villa,Gundlapochampally,Hyderabad,3587 ,"8,300", 2.97 Cr,Under Construction,BUILDER
32,Raghuram Pradeep Constructions India LLPBUILDER0,3 BHK,Apartment,Puppalaguda,Hyderabad,2165 ,"9,901", 2.14 Cr,Under Construction,BUILDER
33,Kalyan Infra ProjectsBUILDER0,3 BHK,Apartment,Manchirevula,Hyderabad,1965 ,"6,800", 1.33 Cr,Ready to move,BUILDER
34,Risinia BuildersBUILDER0,3 BHK,Apartment,Bachupally,Hyderabad,1935 ,"5,999", 1.16 Cr,Ready to move,BUILDER
35,MKT Praneeth HomesBUILDER0,2 BHK,Apartment,Isnapur,Hyderabad,1239 ,"4,200", 52.03 L,Under Construction,BUILDER
36,APR GroupBUILDER0,4 BHK,Independent,Kollur,Hyderabad,3712 ,"10,000", 3.71 Cr,Under Construction,BUILDER
37,Praneeth GroupBUILDER0,2 BHK,Apartment,Hyder,Hyderabad,1305 ,"7,599", 99.16 L,Under Construction,BUILDER
38,GHR InfraBUILDER0,3 BHK,Apartment,Kollur,Hyderabad,1775 ,"5,999", 1.06 Cr,Under Construction,BUILDER
39,Greenmark DevelopersBUILDER0,5 BHK,Villa,Kollur,Hyderabad,6111 ,"12,142", 7.41 Cr,Under Construction,BUILDER
40,Hallmark BuildersBUILDER0,3 BHK,Apartment,Gandipet,Hyderabad,2040 ,"9,000", 1.83 Cr,Under Construction,BUILDER
41,Aavasa ConstructionsBUILDER0,3 BHK,Apartment,LB,Hyderabad,2345 ,"7,000", 1.64 Cr,Ready to move,BUILDER
42,Theme Ambience InfrastructuresBUILDER0,4 BHK,Apartment,Attapur,Hyderabad,2655 ,"7,499", 1.99 Cr,Under Construction,BUILDER
43,Signature AvenuesBUILDER0,2 BHK,Apartment,Kollur,Hyderabad,1550 ,"5,999", 92.98 L,Under Construction,BUILDER
44,GK Builders DevelopersBUILDER0,2 BHK,Apartment,Yapral,Hyderabad,1220 ,"5,400", 65.88 L,Ready to move,BUILDER
45,Candeur Developers And BuildersBUILDER0,3 BHK,Apartment,Miyapur,Hyderabad,2004 ,"7,600", 1.52 Cr,Under Construction,BUILDER
46,BSCPL Infrastructure LtdBUILDER0,3 BHK,Apartment,Kondapur,Hyderabad,1965 ,"13,587", 2.66 Cr,Ready to move,BUILDER
47,Merlion BuildersBUILDER0,3 BHK,Apartment,Nizampet,Hyderabad,1854 ,"6,002", 1.11 Cr,Ready to move,BUILDER
48,Vajra Builders And DevelopersBUILDER0,5 BHK,Villa,Dundigal,Hyderabad,2624 ,"6,500", 1.7 Cr,Under Construction,BUILDER
49,Riddhi GroupBUILDER0,3 BHK,Apartment,Jeedimetla,Hyderabad,1840 ,"5,950", 1.09 Cr,Under Construction,BUILDER
50,Maram Infra Projects PvtLtdBUILDER0,2 BHK,Apartment,Pocharam,Hyderabad,1245 ,"5,055", 62.93 L,Under Construction,BUILDER
51,Anuhar Homes Pvt LtdBUILDER0,2 BHK,Apartment,Miyapur,Hyderabad,1551 ,"6,500", 1 Cr,Ready to move,BUILDER
52,Salarpuria SattvaBUILDER0,3 BHK,Apartment,Shaikpet,Hyderabad,2285 ,"10,540", 2.4 Cr,Ready to move,BUILDER
53,EIPL GroupBUILDER0,3 BHK,Apartment,Puppalaguda,Hyderabad,2215 ,"7,800", 1.72 Cr,Under Construction,BUILDER
54,Vasavi GroupBUILDER0,3 BHK,Apartment,Jeedimetla,Hyderabad,1965 ,"7,400", 1.45 Cr,Under Construction,BUILDER
55,Mahaveer GroupBUILDER0,3 BHK,Apartment,Attapur,Hyderabad,2680 ,"8,500", 2.27 Cr,Under Construction,BUILDER
56,Sri Aditya SquaresBUILDER0,4 BHK,Villa,Ramachandrapuram,Hyderabad,4141 ,"7,999", 3.31 Cr,Under Construction,BUILDER
57,Sumadhura Infracon Pvt LtdBUILDER0,3 BHK,Apartment,Nanakramguda,Hyderabad,3000 ,"13,592", 4.07 Cr,Under Construction,BUILDER
58,Cyber City OrianaBUILDER0,2 BHK,Apartment,Kukatpally,Hyderabad,1250 ,"8,399", 1.04 Cr,Under Construction,BUILDER
